iter	Passed	Remaining
0	0	69
1	1	61
2	1	58
3	2	56
4	2	55
5	3	54
6	3	52
7	4	51
8	5	50
9	5	49
10	6	48
11	6	48
12	7	47
13	7	47
14	8	46
15	8	46
16	9	45
17	9	44
18	10	44
19	10	43
20	11	43
21	12	42
22	12	42
23	13	41
24	13	41
25	14	40
26	14	39
27	15	39
28	15	38
29	16	38
30	17	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	34
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	31
43	23	30
44	24	30
45	25	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
